iter	Passed	Remaining
502	661	653
503	662	651
504	663	650
505	664	648
506	666	647
507	668	647
508	669	646
509	671	645
510	673	644
511	675	643
512	677	642
513	678	641
514	679	640
515	681	639
516	683	638
517	684	636
518	685	635
519	686	633
520	687	632
521	688	630
522	689	629
523	691	627
524	692	626
525	694	625
526	696	625
527	698	624
528	699	622
529	700	621
530	702	620
531	703	618
532	704	617
533	705	616
534	707	614
535	708	613
536	709	611
537	711	610
538	712	609
539	713	607
540	714	606
541	715	605
542	716	603
543	717	601
544	718	600
545	719	598
546	720	596
547	721	594
548	722	593
549	723	591
550	724	590
551	725	588
552	726	587
553	727	585
554	728	584
555	729	582
556	730	581
557	731	579
558	732	577
559	732	575
560	733	574
561	734	572
562	735	570
563	736	568
564	736	567
565	737	565
566	738	563
567	739	562
568	740	560
569	741	559
570	742	557
571	743	556
572	743	554
573	744	552
574	745	551
575	746	549
576	747	547
577	747	546
578	748	544
579	749	542
580	750	541
581	751	539
582	751	537
583	752	536
584	753	534
585	754	532
586	754	531
587	755	529
588	756	528
589	757	526
590	758	524
591	759	523
592	759	521
593	760	519
594	761	518
595	762	516
596	762	515
597	763	513
598	764	511
599	765	510
600	766	508
601	767	507
602	768	505
603	769	504
604	770	502
605	771	501
606	772	499
607	773	498
608	773	496
609	774	495
610	775	493
611	776	492
612	777	490
613	778	489
614	779	487
615	780	486
616	781	484
617	782	483
618	782	481
619	783	480
620	784	478
621	785	477
622	786	476
623	787	474
624	789	473
625	789	471
626	790	470
627	791	468
628	792	467
629	793	465
630	794	464
631	795	462
632	795	461
633	796	459
634	797	458
635	798	456
636	798	455
637	799	453
638	800	452
639	801	450
640	802	449
641	803	448
642	804	446
643	805	445
644	806	443
645	807	442
646	808	440
647	809	439
648	810	438
649	811	436
650	812	435
651	813	434
652	814	432
653	814	431
654	816	429
655	817	428
656	818	427
657	819	425
658	820	424
659	821	422
660	821	421
661	822	420
662	823	418
663	824	417
664	825	415
665	826	414
666	827	413
667	828	411
668	828	410
669	829	408
670	830	407
671	831	406
672	832	404
673	833	403
674	834	401
675	835	400
676	835	398
677	836	397
678	837	395
679	838	394
680	839	393
681	839	391
682	840	390
683	841	388
684	842	387
685	843	385
686	844	384
687	845	383
688	846	382
689	847	380
690	848	379
691	849	378
692	850	376
693	851	375
694	852	374
695	853	372
696	854	371
697	855	370
698	856	368
699	857	367
700	858	366
701	859	364
702	860	363
703	861	362
704	862	361
705	863	359
706	864	358
707	865	357
708	866	355
709	867	354
710	868	353
711	869	351
712	870	350
713	871	349
714	872	347
715	874	346
716	875	345
717	876	344
718	877	342
719	878	341
720	879	340
721	880	339
722	881	337
723	883	336
724	884	335
725	885	334
726	886	332
727	887	331
728	888	330
729	889	328
730	890	327
731	891	326
732	892	325
733	893	323
734	894	322
735	894	321
736	896	319
737	897	318
738	898	317
739	899	315
740	900	314
741	901	313
742	902	312
743	903	311
744	905	309
745	906	308
746	907	307
747	908	306
748	909	304
749	910	303
750	912	302
751	913	301
752	914	299
753	915	298
754	916	297
755	916	295
756	917	294
757	918	293
758	919	291
759	920	290
760	921	289
761	923	288
762	924	287
763	925	285
764	926	284
765	927	283
766	928	282
767	929	280
768	930	279
769	931	278
770	933	277
771	934	275
772	935	274
773	936	273
774	937	272
775	938	271
776	940	269
777	940	268
778	942	267
779	942	265
780	943	264
781	945	263
782	946	262
783	947	260
784	948	259
785	949	258
786	950	257
787	951	255
788	952	254
789	953	253
790	954	252
791	955	250
792	956	249
793	957	248
794	958	247
795	959	246
796	960	244
797	962	243
798	963	242
799	964	241
800	965	239
801	966	238
802	967	237
803	968	236
804	969	234
805	970	233
806	971	232
807	972	231
808	973	229
809	974	228
810	975	227
811	976	225
812	977	224
813	978	223
814	979	222
815	980	221
816	981	219
817	982	218
818	983	217
819	984	216
820	985	214
821	986	213
822	987	212
823	988	211
824	989	209
825	990	208
826	991	207
827	992	206
828	993	204
829	994	203
830	996	202
831	997	201
832	998	200
833	999	198
834	1000	197
835	1001	196
836	1002	195
837	1003	194
838	1004	192
839	1005	191
840	1006	190
841	1007	189
842	1008	187
843	1008	186
844	1009	185
845	1010	184
846	1011	182
847	1012	181
848	1013	180
849	1014	179
850	1015	177
851	1015	176
852	1016	175
853	1018	174
854	1019	172
855	1019	171
856	1020	170
857	1021	169
858	1022	167
859	1023	166
860	1023	165
861	1024	164
862	1025	162
863	1026	161
864	1027	160
865	1028	159
866	1029	157
867	1030	156
868	1031	155
869	1032	154
870	1033	152
871	1033	151
872	1034	150
873	1036	149
874	1036	148
875	1037	146
876	1038	145
877	1039	144
878	1040	143
879	1041	141
880	1042	140
881	1043	139
882	1044	138
883	1045	137
884	1046	135
885	1047	134
886	1048	133
887	1049	132
888	1049	131
889	1050	129
890	1051	128
891	1052	127
892	1053	126
893	1055	125
894	1055	123
895	1056	122
896	1057	121
897	1058	120
898	1059	119
899	1060	117
900	1061	116
901	1061	115
902	1062	114
903	1063	112
904	1064	111
905	1064	110
906	1065	109
907	1066	108
908	1067	106
909	1068	105
910	1069	104
911	1070	103
912	1071	102
913	1071	100
914	1072	99
915	1073	98
916	1074	97
917	1074	96
918	1075	94
919	1076	93
920	1077	92
921	1078	91
922	1078	89
923	1079	88
924	1080	87
925	1081	86
926	1081	85
927	1082	83
928	1083	82
929	1084	81
930	1085	80
931	1086	79
932	1087	78
933	1088	76
934	1089	75
935	1089	74
936	1090	73
937	1091	72
938	1092	70
939	1092	69
940	1093	68
941	1094	67
942	1095	66
943	1095	65
944	1096	63
945	1097	62
946	1098	61
947	1099	60
948	1100	59
949	1101	57
950	1102	56
951	1103	55
952	1104	54
953	1105	53
954	1105	52
955	1106	50
956	1107	49
957	1108	48
958	1109	47
959	1109	46
960	1110	45
961	1111	43
962	1112	42
963	1113	41
964	1113	40
965	1114	39
966	1115	38
967	1116	36
968	1117	35
969	1118	34
970	1118	33
971	1119	32
972	1120	31
973	1121	29
974	1122	28
975	1123	27
976	1123	26
977	1124	25
978	1125	24
979	1126	22
980	1126	21
981	1127	20
982	1128	19
983	1129	18
984	1130	17
985	1131	16
986	1132	14
987	1132	13
988	1133	12
989	1134	11
990	1135	10
991	1135	9
992	1136	8
993	1137	6
994	1138	5
995	1139	4
996	1139	3
997	1140	2
998	1141	1
999	1142	0
